
name,code,continent,population,capital,currency
Afghanistan,AFG,Asia,38928346,Kabul,AFN
Albania,ALB,Europe,2877797,Tirana,ALL
Algeria,DZA,Africa,44616624,Algiers,DZD
Argentina,ARG,South America,45195774,Buenos Aires,ARS
Australia,AUS,Oceania,25499884,Canberra,AUD
Brazil,BRA,South America,212559417,Brasília,BRL
Canada,CAN,North America,37742154,Ottawa,CAD
China,CHN,Asia,1402112000,Beijing,CNY
France,FRA,Europe,65273511,Paris,EUR
Germany,DEU,Europe,83783942,Berlin,EUR
India,IND,Asia,1380004385,New Delhi,INR
Italy,ITA,Europe,60461826,Rome,EUR
Japan,JPN,Asia,125836021,Tokyo,JPY
Mexico,MEX,North America,128932753,Mexico City,MXN
Russia,RUS,Europe,145912025,Moscow,RUB
South Africa,ZAF,Africa,59308690,Pretoria,ZAR
Spain,ESP,Europe,47351567,Madrid,EUR
United Kingdom,GBR,Europe,67886011,London,GBP
United States,USA,North America,331002651,Washington D.C.,USD
