
name,code,country_code,capital,population,area
California,CA,USA,Sacramento,39538223,423970
Texas,TX,USA,Austin,29145505,695662
Florida,FL,USA,Tallahassee,21538187,170312
Bavaria,BY,DEU,Munich,13124737,70550
New South Wales,NSW,AUS,Sydney,8166369,809444
Ontario,ON,CAN,Toronto,14733119,1076395
Maharashtra,MH,IND,Mumbai,123144223,307713
São Paulo,SP,BRA,São Paulo,46289333,248222
Guangdong,GD,CHN,Guangzhou,126012510,179800
Tokyo,TYO,JPN,Tokyo,13929286,2194
England,ENG,GBR,London,56550138,130395
Île-de-France,IDF,FRA,Paris,12278210,12011
Lombardy,LOM,ITA,Milan,10027602,23844
Madrid,MAD,ESP,Madrid,6661949,8030
Moscow Oblast,MOS,RUS,Moscow,7503385,44329
Gauteng,GP,ZAF,Johannesburg,15488137,18178
