Depot_ID,Name,Location,GDP Compliance
DEP00001,Central Transport Network,"Rueckerside, Germany",Provisional
DEP00002,United Medical Network,"Lake Cortneyboro, Spain",Fully Compliant
DEP00003,Global Storage International,"Jaydaport, India",Grade B
DEP00004,Worldwide Depot Alliance,"Mervinfield, USA",Grade B
DEP00005,Prime Supply Partners,"Lorain, Belgium",Fully Compliant
DEP00006,National Transport Partners,"Breitenbergfort, Japan",Partial Compliance
DEP00007,Prime Transport Systems,"Sunrise Manor, Japan",Grade A
DEP00008,Regional Pharma Solutions,"Fort Crawfordport, Netherlands",Non-Compliant
DEP00009,Central Depot Solutions,"O'Keefefield, South Korea",Fully Compliant
DEP00010,Regional Healthcare Network,"Blandastad, Italy",Grade A
DEP00011,Central Medical Partners,"Port Cristopherville, Australia",Fully Compliant
DEP00012,National Medical Group,"Wehnerport, China",Non-Compliant
DEP00013,Central Delivery Systems,"East Omaview, Germany",Grade C
DEP00014,United Healthcare Solutions,"Markscester, Poland",Conditional Approval
DEP00015,Global Logistics International,"O'Connellland, Japan",Non-Compliant
DEP00016,Worldwide Logistics Hub,"Perrystead, Brazil",Partial Compliance
DEP00017,National Transport Partners,"Mayerfurt, South Korea",Grade B
DEP00018,Strategic Logistics Systems,"Rubyworth, Mexico",Grade C
DEP00019,United Storage Group,"Wilhelminemouth, USA",Non-Compliant
DEP00020,Prime Delivery Systems,"Margiefield, Brazil",Fully Compliant
DEP00021,Global Storage Systems,"Lancecester, Switzerland",Under Remediation
DEP00022,Prime Logistics Group,"South Cruz, Austria",Pending Review
DEP00023,National Transport Group,"Littelcester, UK",Grade C
DEP00024,Global Depot Hub,"Joshuahfurt, Mexico",Under Remediation
DEP00025,National Delivery Systems,"Candacefurt, Italy",Grade B
DEP00026,Central Transport Network,"Shieldsfield, Netherlands",Fully Compliant
DEP00027,Global Delivery Solutions,"Delray Beach, Sweden",Grade A
DEP00028,Global Logistics International,"Beierfort, Sweden",Pending Review
DEP00029,Prime Delivery Systems,"Nathenstad, France",Certified
DEP00030,Worldwide Distribution Partners,"Vicentacester, Italy",Conditional Approval
DEP00031,Global Distribution Group,"Altoona, Austria",Under Remediation
DEP00032,Alliance Storage Group,"Rowlett, South Korea",Conditional Approval
DEP00033,Global Healthcare Services,"New Rowlandworth, Canada",Grade C
DEP00034,Alliance Medical Partners,"North Las Vegas, Germany",Under Remediation
DEP00035,Global Storage Group,"Thadstead, India",Conditional Approval
DEP00036,Central Healthcare Partners,"Brennanton, Norway",Non-Compliant
DEP00037,Global Healthcare Alliance,"Lake Adam, South Korea",Non-Compliant
DEP00038,National Distribution Hub,"Kathleenstad, Australia",Provisional
DEP00039,Alliance Delivery Systems,"Lake Seamus, Singapore",Grade C
DEP00040,Central Pharma Partners,"Jakobhaven, Japan",Non-Compliant
DEP00041,United Distribution Network,"Lorain, Switzerland",Under Remediation
DEP00042,Global Depot Systems,"Lake Kamren, Switzerland",Provisional
DEP00043,Worldwide Distribution Solutions,"Lake Ezraport, Ireland",Grade A
DEP00044,Global Logistics Alliance,"Port Albinworth, Sweden",Grade A
DEP00045,United Storage Alliance,"Glenview, UK",Provisional
DEP00046,Integrated Pharma Hub,"North Marlin, Austria",Certified
DEP00047,United Supply Partners,"Nehaboro, China",Partial Compliance
DEP00048,National Logistics Group,"Juniusburgh, Germany",Grade A
DEP00049,Central Depot Services,"Ephraimfield, Italy",Grade A
DEP00050,National Transport Alliance,"South Jacynthe, Brazil",Fully Compliant
DEP00051,Strategic Depot Alliance,"New Brauliocester, South Korea",Certified
DEP00052,Central Healthcare Alliance,"North Oma, Germany",Grade A
DEP00053,Global Logistics Group,"Findlay, Brazil",Grade C
DEP00054,Integrated Storage International,"Hammond, Poland",Conditional Approval
DEP00055,Regional Storage International,"Durham, Norway",Grade C
DEP00056,Central Supply Partners,"Port Kaciview, Switzerland",Partial Compliance
DEP00057,Alliance Distribution Network,"Jonesville, Australia",Under Remediation
DEP00058,Prime Storage Alliance,"Cape Coral, France",Non-Compliant
DEP00059,Strategic Distribution Logistics,"East Jacky, Belgium",Grade B
DEP00060,Global Healthcare International,"Judefield, Brazil",Non-Compliant
DEP00061,Central Transport Partners,"Hacketthaven, Italy",Non-Compliant
DEP00062,Alliance Distribution Alliance,"East Los Angeles, Spain",Certified
DEP00063,Prime Depot Alliance,"South Maida, Sweden",Grade C
DEP00064,Regional Depot Hub,"Faheyshire, Netherlands",Conditional Approval
DEP00065,Integrated Healthcare Partners,"North Bethesda, Netherlands",Under Remediation
DEP00066,National Distribution Group,"Dianafield, China",Under Remediation
DEP00067,Central Supply Services,"Escondido, Germany",Pending Review
DEP00068,National Distribution Logistics,"Fort Deondre, Italy",Under Remediation
DEP00069,Central Storage Systems,"Kautzerview, Italy",Conditional Approval
DEP00070,Regional Delivery Services,"Schmelerborough, China",Pending Review
DEP00071,Global Delivery International,"Lake Leonorville, Belgium",Grade C
DEP00072,Integrated Medical International,"Toyville, Mexico",Provisional
DEP00073,National Pharma Partners,"Destineefort, Mexico",Grade B
DEP00074,Central Logistics Solutions,"Port Jamey, Denmark",Grade A
DEP00075,Global Healthcare Partners,"Lake Bertafurt, Singapore",Certified
DEP00076,Central Healthcare Hub,"West Laurine, Belgium",Certified
DEP00077,Prime Storage Services,"Lake Marley, Germany",Provisional
DEP00078,Strategic Distribution Partners,"South Zoilashire, Australia",Grade B
DEP00079,Central Supply Systems,"South Bennettworth, India",Non-Compliant
DEP00080,National Supply Alliance,"West Albinaland, South Korea",Conditional Approval
DEP00081,Strategic Distribution Systems,"Port Kenyontown, Australia",Non-Compliant
DEP00082,Worldwide Healthcare Solutions,"Mansfield, UK",Conditional Approval
DEP00083,Central Delivery Network,"Fort Hope, Norway",Provisional
DEP00084,Global Transport Group,"Winston-Salem, Spain",Pending Review
DEP00085,Prime Healthcare Network,"Severn, Singapore",Provisional
DEP00086,Central Depot Logistics,"Valdosta, Poland",Grade C
DEP00087,Global Pharma Logistics,"Lubbock, India",Certified
DEP00088,United Distribution Systems,"Johnsland, Poland",Grade A
DEP00089,Strategic Healthcare Group,"Lynchshire, China",Grade B
DEP00090,Integrated Depot Systems,"New Leola, Denmark",Conditional Approval
DEP00091,Integrated Depot Logistics,"Laceybury, UK",Pending Review
DEP00092,Global Logistics Network,"Bruenland, Singapore",Provisional
DEP00093,Prime Medical Network,"North Oda, Ireland",Provisional
DEP00094,Regional Depot Alliance,"Boscoland, Germany",Provisional
DEP00095,Central Healthcare Hub,"Rollinville, Norway",Under Remediation
DEP00096,Integrated Transport International,"Walnut Creek, Sweden",Conditional Approval
DEP00097,Integrated Delivery Hub,"Fort Luciano, Singapore",Conditional Approval
DEP00098,Prime Healthcare Logistics,"Purdyside, Netherlands",Grade B
DEP00099,Global Storage Alliance,"Lake Margueritemouth, USA",Partial Compliance
DEP00100,Prime Transport Logistics,"Fort Jerrodhaven, Poland",Grade A
DEP00101,United Depot Services,"Wernercester, South Korea",Under Remediation
DEP00102,National Logistics International,"Daishaburgh, Austria",Grade C
DEP00103,Strategic Storage Hub,"New Judeport, Denmark",Provisional
DEP00104,Regional Storage Alliance,"New Verna, USA",Grade C
DEP00105,Prime Logistics Logistics,"Framingham, Austria",Certified
DEP00106,Worldwide Delivery Solutions,"North Craigmouth, Poland",Grade B
DEP00107,United Storage Services,"East Cleveton, France",Non-Compliant
DEP00108,Prime Transport Network,"Lianaville, Spain",Provisional
DEP00109,Integrated Logistics Partners,"New Bedford, Belgium",Provisional
DEP00110,Alliance Depot Solutions,"Fort Pierce, USA",Partial Compliance
