CMO_ID,Name,Sponsor_ID,GMP Status
CMO00001,Integrated BioPharm Ltd.,SP5814,Pending
CMO00002,BioTech Solutions Innovations,SP5753,Provisional
CMO00003,Global BioPharm Inc.,SP7098,Approved
CMO00004,Advanced Therapeutics Partners,SP4422,Expired
CMO00005,NextGen BioPharm Partners,SP5322,Revoked
CMO00006,Premier Therapeutics International,SP5985,Under Evaluation
CMO00007,BioTech Biologics Group,SP3268,Compliant
CMO00008,Integrated Biologics Corp,SP4817,Under Evaluation
CMO00009,Global Manufacturing Systems,SP3128,Revoked
CMO00010,Precision Manufacturing Systems,SP8596,Pending
CMO00011,Premier Biologics International,SP2659,Approved
CMO00012,Universal Solutions Innovations,SP5598,Provisional
CMO00013,Global Sciences International,SP7083,Revoked
CMO00014,Alliance Laboratories Group,SP7959,Compliant
CMO00015,Alliance Biologics Group,SP1770,Pending
CMO00016,Advanced Laboratories Corp,SP5803,Approved
CMO00017,Summit Research Ltd.,SP7394,Under Evaluation
CMO00018,BioTech Sciences Systems,SP8463,Revoked
CMO00019,Summit MedTech Group,SP7691,Expired
CMO00020,Premier Therapeutics Inc.,SP3047,Certified
CMO00021,Integrated Therapeutics Innovations,SP2313,Compliant
CMO00022,Integrated Research Technologies,SP2675,Revoked
CMO00023,Global Laboratories Ltd.,SP8967,Compliant
CMO00024,Premier Manufacturing Corp,SP5384,In Review
CMO00025,Advanced MedTech Ltd.,SP1084,Expired
CMO00026,BioTech MedTech Innovations,SP7537,Pending
CMO00027,NextGen Sciences Systems,SP8663,Approved
CMO00028,BioTech Therapeutics Group,SP3512,Expired
CMO00029,Global Therapeutics Group,SP4069,Expired
CMO00030,Alliance Research Partners,SP0795,Approved
CMO00031,Precision MedTech Corp,SP0998,Provisional
CMO00032,Integrated Laboratories International,SP6457,In Review
CMO00033,Summit Therapeutics Solutions,SP8799,Certified
CMO00034,NextGen Solutions Systems,SP8725,Approved
CMO00035,Advanced Research Innovations,SP5186,Certified
CMO00036,Alliance Laboratories Corp,SP9029,In Review
CMO00037,Precision Solutions Solutions,SP2973,Conditional
CMO00038,Global Research International,SP5405,Certified
CMO00039,NextGen Laboratories Innovations,SP0215,Conditional
CMO00040,Alliance Laboratories Corp,SP9923,Revoked
CMO00041,Advanced Research International,SP7582,Pending
CMO00042,NextGen Solutions Innovations,SP0320,Pending
CMO00043,Premier Pharma Corp,SP8185,Pending
CMO00044,NextGen Laboratories Partners,SP0830,Provisional
CMO00045,NextGen Pharma Corp,SP8692,Compliant
CMO00046,Alliance BioPharm Corp,SP4380,Revoked
CMO00047,Advanced Laboratories Systems,SP9975,Under Evaluation
CMO00048,NextGen Solutions Solutions,SP8466,Conditional
CMO00049,Advanced Manufacturing Corp,SP0514,Approved
CMO00050,NextGen Biologics Inc.,SP9615,In Review
CMO00051,Alliance Research Group,SP7631,Revoked
CMO00052,Summit Therapeutics Inc.,SP9185,Under Evaluation
CMO00053,BioTech Research Technologies,SP1709,Pending
CMO00054,Advanced Solutions Group,SP0908,Conditional
CMO00055,Integrated Biologics Group,SP9101,Revoked
CMO00056,BioTech Manufacturing Group,SP0876,Compliant
CMO00057,Advanced BioPharm Group,SP6108,Compliant
CMO00058,Integrated BioPharm Technologies,SP9799,Compliant
CMO00059,Premier Sciences Innovations,SP2292,Certified
CMO00060,Global Solutions Inc.,SP3573,Pending
CMO00061,Advanced Pharma Systems,SP8563,Compliant
CMO00062,BioTech Solutions Corp,SP1965,Revoked
CMO00063,BioTech BioPharm Partners,SP0100,Expired
CMO00064,BioTech Research Partners,SP8211,Provisional
CMO00065,Universal Therapeutics Technologies,SP1780,Conditional
CMO00066,Precision Research Systems,SP3012,Conditional
CMO00067,BioTech Laboratories Corp,SP6377,Certified
CMO00068,Advanced Sciences Innovations,SP8737,Under Evaluation
CMO00069,Global Sciences Technologies,SP0100,Approved
CMO00070,Premier Research Solutions,SP0576,Approved
CMO00071,Alliance BioPharm Ltd.,SP7642,Revoked
CMO00072,NextGen Laboratories Innovations,SP6572,Expired
CMO00073,Global Pharma Innovations,SP1049,Provisional
CMO00074,Global Solutions Innovations,SP6203,Conditional
CMO00075,Alliance Manufacturing Partners,SP4470,Conditional
CMO00076,Summit Therapeutics Innovations,SP5834,Expired
CMO00077,Universal Manufacturing Systems,SP5431,Under Evaluation
