CMO_ID,Name,Sponsor_ID,GMP Status
CMO0001,Life Ltd,SP0338,Pending Renewal
CMO0002,Pharma Pharmaceuticals,SP0371,Compliant
CMO0003,GenLabs Biosciences,SP0458,Under Review
CMO0004,Sci Sciences,SP0452,Under Review
CMO0005,Sci Tech Pharmaceuticals,SP0219,Compliant
CMO0006,Lab-Science SA,SP0458,Certified
CMO0007,Vax Research Sciences,SP0288,Compliant
CMO0008,Pro-Tech Ltd,SP0159,Certified
CMO0009,Vax-Biotech Inc,SP0407,Under Review
CMO0010,Medical Med Technologies,SP0127,Probation
CMO0011,Sci Technologies,SP0324,Probation
CMO0012,Sci Health Pharmaceuticals,SP0156,Under Review
CMO0013,GenScience Ltd,SP0119,Under Review
CMO0014,Tech Ltd,SP0176,Pending Renewal
CMO0015,Chem Clinic Holdings,SP0186,Compliant
CMO0016,Biotech Pro Pharmaceuticals,SP0363,Pending Renewal
CMO0017,Gen-Research Corp,SP0305,Certified
CMO0018,Pharma Co,SP0229,Probation
CMO0019,Biotech Tech Sciences,SP0402,Compliant
CMO0020,Research Gen Group,SP0140,Under Review
CMO0021,Solutions Clinic Inc,SP0235,Compliant
CMO0022,Biologics Nova Inc,SP0278,Probation
CMO0023,Gen Pharmaceuticals,SP0009,Under Review
CMO0024,Thera Biotech Sciences,SP0182,Certified
CMO0025,GenBiologics Inc,SP0213,Probation
CMO0026,Systems Clinic Holdings,SP0016,Under Review
CMO0027,Lab Laboratories,SP0331,Certified
CMO0028,Nova Inc,SP0154,Certified
CMO0029,NovaTech AG,SP0345,Probation
CMO0030,Tech Health Holdings,SP0332,Certified
CMO0031,Medicines Thera Ltd,SP0132,Probation
CMO0032,Life Tech Pharmaceuticals,SP0024,Under Review
CMO0033,Science Lab GmbH,SP0302,Under Review
CMO0034,Solutions Thera Therapeutics,SP0233,Certified
CMO0035,Lab Holdings,SP0064,Under Review
CMO0036,ProPharma Co,SP0466,Compliant
CMO0037,NovaPharma SA,SP0121,Compliant
CMO0038,TheraPharma Pharmaceuticals,SP0446,Under Review
CMO0039,HealthBiologics Laboratories,SP0304,Compliant
CMO0040,Health Science Holdings,SP0069,Compliant
CMO0041,Vax Labs Therapeutics,SP0180,Probation
CMO0042,Health Inc,SP0478,Pending Renewal
CMO0043,Life Laboratories,SP0462,Pending Renewal
CMO0044,Nova Health LLC,SP0368,Pending Renewal
CMO0045,Cure SA,SP0205,Certified
CMO0046,Therapeutics Bio GmbH,SP0481,Compliant
CMO0047,Clinic-Medicines Holdings,SP0135,Under Review
CMO0048,Biologics Gen Co,SP0240,Certified
CMO0049,Bio Genetics LLC,SP0176,Pending Renewal
CMO0050,Gen Pharma Pharmaceuticals,SP0279,Under Review
CMO0051,Life Medicines Technologies,SP0254,Probation
CMO0052,Pro Tech Sciences,SP0357,Under Review
CMO0053,Nova Labs Technologies,SP0336,Probation
CMO0054,Medical Sci Biosciences,SP0416,Certified
CMO0055,Labs Gen Sciences,SP0271,Under Review
CMO0056,Clinic Biotech Laboratories,SP0426,Compliant
CMO0057,Bio Group,SP0055,Certified
CMO0058,Therapeutics Pharma Biosciences,SP0170,Certified
CMO0059,Vax AG,SP0305,Probation
CMO0060,Health-Health Inc,SP0489,Pending Renewal
CMO0061,NovaPharma Pharmaceuticals,SP0310,Probation
CMO0062,Bio-Research Technologies,SP0251,Certified
CMO0063,ProResearch Therapeutics,SP0180,Certified
